"","FK_STATION","FK_RANDOM_SAMPLE_LOCATION","COLLECTION_DATE","SAMPLE_TYPE","MATRIX","pH_Field","pH_Field_VQ","Specific_Conductance_Field","Specific_Conductance_Field_VQ","Oxygen_Dissolved_Field","Oxygen_Dissolved_Field_VQ","Oxygen_Dissolved_Percent_Saturation","Oxygen_Dissolved_Percent_Saturation_VQ","Water_Temperature","Water_Temperature_VQ","Depth_Bottom_of_Waterbody_Sample_Site","Depth_Bottom_of_Waterbody_Sample_Site_VQ","Transparency_Secchi_Depth","Transparency_Secchi_Depth_VQ","Sample_Depth","Sample_Depth_VQ","Water_Sample_Collection_Device","Water_Sample_Collection_Device_VQ","Water_Level","Water_Level_VQ","Stream_Flow_Qualitative","Stream_Flow_Qualitative_VQ","Iron_Total","Iron_Total_VQ","Magnesium_Total","Magnesium_Total_VQ","Potassium_Total","Potassium_Total_VQ","Thallium_Total","Thallium_Total_VQ","Calcium_Total","Calcium_Total_VQ","Arsenic_Total","Arsenic_Total_VQ","Silver_Total","Silver_Total_VQ","Chromium_Total","Chromium_Total_VQ","Zinc_Total","Zinc_Total_VQ","Molybdenum_total","Molybdenum_total_VQ","Barium_Total","Barium_Total_VQ","Selenium_Total","Selenium_Total_VQ","Copper_Total","Copper_Total_VQ","Cadmium_Total","Cadmium_Total_VQ","Nickel_Total","Nickel_Total_VQ","Hardness_calculated_as_CACO3","Hardness_calculated_as_CACO3_VQ","Sodium_Total","Sodium_Total_VQ","Lead_Total","Lead_Total_VQ","Aluminum_Total","Aluminum_Total_VQ","Beryllium_Total","Beryllium_Total_VQ","Manganese_Total","Manganese_Total_VQ","Antimony_Total","Antimony_Total_VQ","NitrateNitrite_Total_as_N","NitrateNitrite_Total_as_N_VQ","Organic_Carbon_Total","Organic_Carbon_Total_VQ","Sulfate_Total","Sulfate_Total_VQ","Total_Dissolved_Solids_TDS_measured","Total_Dissolved_Solids_TDS_measured_VQ","Ammonia_Total_as_N","Ammonia_Total_as_N_VQ","Alkalinity_Total_as_CaCO3","Alkalinity_Total_as_CaCO3_VQ","Chloride_Total","Chloride_Total_VQ","Total_Suspended_Solids_TSS","Total_Suspended_Solids_TSS_VQ","Specific_Conductance_Lab","Specific_Conductance_Lab_VQ","Kjeldahl_Nitrogen_Total_as_N","Kjeldahl_Nitrogen_Total_as_N_VQ","Color_true","Color_true_VQ","Turbidity_Lab","Turbidity_Lab_VQ","Fluoride_Total","Fluoride_Total_VQ","Phosphorus_Total_as_P","Phosphorus_Total_as_P_VQ","Pheophytin_A_Monochromatic","Pheophytin_A_Monochromatic_VQ","Chlorophyll_A_Monochromatic","Chlorophyll_A_Monochromatic_VQ","Chlorophyll_A_Uncorrected_Trichromatic","Chlorophyll_A_Uncorrected_Trichromatic_VQ","Escherichia_Coli_Quanti_Tray","Escherichia_Coli_Quanti_Tray_VQ","Enterococci_Quanti_Tray","Enterococci_Quanti_Tray_VQ","Salinity_ppt","Salinity_ppt_VQ","Weather","Weather_VQ"
"1",57099,"Z4-CN-14003",2020-01-14 11:45:00,"PRIMARY","WATER",8.4,NA,467.6,NA,13.11,NA,150.1,NA,23,NA,0.42,NA,0.42,"S",0.21,NA,NA,NA,NA,NA,NA,NA,100,"I",5.67,NA,3.2,NA,0.1,"U",63.8,NA,1.45,NA,0.01,"U",0.43,"I",5,"U",2.07,NA,23.8,NA,0.2,"U",1.42,NA,0.02,"U",0.55,"I",183,NA,27.3,NA,0.2,"U",103,NA,0.01,"U",10,NA,0.27,NA,0.14,NA,12,NA,16,NA,259,NA,0.018,NA,137,NA,56,NA,7,"I",479,NA,0.93,NA,42,NA,3.5,NA,0.19,NA,0.049,NA,7.1,NA,25,NA,30,NA,3.1,"Q",NA,NA,NA,NA,NA,NA
"2",57100,"Z4-CN-14006",2020-01-16 12:05:00,"PRIMARY","WATER",8,NA,546,NA,7.59,NA,89.7,NA,23.6,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,370,NA,10.5,NA,0.9,"I",0.1,"U",80.3,NA,0.66,NA,0.01,"U",0.4,"I",5,"U",1.22,NA,18.5,NA,0.2,"U",0.4,"U",0.02,"U",0.5,"U",244,NA,25.5,NA,0.2,"U",32,NA,0.01,"U",9.5,NA,0.091,"I",0.004,"U",15,NA,15,NA,345,"A",0.019,NA,231,NA,30,NA,6,"IA",544,NA,1.2,NA,42,"A",4.8,NA,0.44,NA,0.17,NA,25,NA,27,NA,43,NA,7.5,"AJQ",NA,NA,NA,NA,NA,NA
"3",57107,"Z4-CN-14022",2020-01-16 12:40:00,"PRIMARY","WATER",7.7,NA,724,NA,6.41,NA,73.7,NA,22.2,NA,0.6,NA,0.6,"S",0.3,NA,NA,NA,NA,NA,NA,NA,820,NA,10.9,NA,1.1,"I",0.1,"U",104,NA,1.21,NA,0.01,"U",1.2,"I",5,"U",2.11,NA,22.4,NA,0.2,"U",0.4,"U",0.02,"U",0.57,"I",305,NA,36.6,NA,0.22,"I",205,NA,0.018,"I",11,NA,0.17,"I",0.036,NA,13,NA,25,NA,442,NA,0.033,NA,248,NA,69,NA,18,NA,719,NA,0.83,NA,36,NA,7,NA,0.33,NA,0.034,NA,1.3,"U",8.1,NA,9.1,NA,4.1,"Q",NA,NA,NA,NA,NA,NA
"4",57104,"Z4-CN-14014",2020-01-13 11:36:00,"PRIMARY","WATER",7.87,NA,731,NA,9.65,NA,113.6,NA,23.4,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,390,NA,23.3,NA,3.9,NA,0.1,"U",93.5,NA,1.52,NA,0.01,"U",0.58,"I",5,"U",1.85,NA,21.1,NA,0.22,"I",1.24,NA,0.02,"U",1.1,"I",329,NA,41.2,NA,0.22,"I",20,NA,0.01,"U",19.3,NA,0.23,NA,0.26,NA,12,NA,120,NA,455,NA,0.026,NA,182,NA,61,NA,3,"I",760,"A",0.79,NA,37,"A",2.9,NA,0.52,NA,0.15,NA,0.9,"U",0.91,"I",1.4,"I",488.4,"Q",NA,NA,NA,NA,NA,NA
"5",57103,"Z4-CN-14012",2020-01-14 10:15:00,"PRIMARY","WATER",8.22,NA,515,NA,12.12,NA,138.1,NA,22.3,NA,5,NA,1,NA,0.3,NA,NA,NA,NA,NA,NA,NA,30,"U",8.28,NA,1.2,NA,0.1,"U",91.3,NA,0.84,NA,0.01,"U",0.4,"U",5,"U",12,NA,12.4,NA,0.31,"I",0.4,"U",0.02,"U",0.5,"U",262,NA,9.6,NA,0.2,"U",14,"I",0.01,"U",7.5,NA,0.084,"I",0.27,NA,3.3,NA,92,NA,317,NA,0.004,"I",151,NA,17,NA,4,"I",523,NA,0.73,NA,14,NA,1.9,NA,0.19,NA,0.047,NA,7.1,NA,43,NA,49,NA,2,"Q",NA,NA,NA,NA,NA,NA
"6",57103,"Z4-CN-14012",2020-01-14 10:17:00,"BOTTOM","WATER",7.34,NA,519,NA,3.33,NA,37.5,NA,20.9,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",0,NA,2020-01-16 12:55:00,"FIELD BLANK","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"U",0.04,"U",0.3,"U",0.1,"U",0.075,"U",0.05,"U",0.01,"U",0.4,"U",5,"U",0.15,"U",1,"U",0.2,"U",0.4,"U",0.02,"U",0.5,"U",0.35,"U",0.5,"U",0.2,"U",5,"U",0.01,"U",1,"U",0.05,"U",0.004,"U",0.5,"U",0.2,"U",15,"U",0.002,"U",0.65,"U",0.2,"U",2,"U",2,"U",0.08,"U",2.5,"U",0.1,"U",0.035,"U",0.002,"U",NA,NA,NA,NA,NA,NA,1,"UQ",NA,NA,NA,NA,NA,NA
"8",57108,"Z4-CN-14023",2020-01-16 14:40:00,"PRIMARY","WATER",7.4,NA,763,NA,2.75,NA,32.8,NA,23.7,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,120,"I",11.7,NA,2.8,NA,0.1,"U",109,NA,1.15,NA,0.01,"U",0.51,"I",5.1,"I",2.33,NA,25.4,NA,0.38,"I",0.95,NA,0.02,"U",0.65,"I",320,NA,35.9,NA,0.2,"U",61,NA,0.01,"I",11.7,NA,0.23,NA,0.19,NA,13,NA,91,NA,464,"A",0.29,NA,198,NA,71,NA,2,"UA",770,NA,0.99,NA,52,NA,1.2,NA,0.3,NA,0.15,NA,1.6,"I",1.6,"I",2.6,NA,365.4,"Q",NA,NA,NA,NA,NA,NA
"9",57102,"Z4-CN-14008",2020-01-21 09:40:00,"PRIMARY","WATER",7.02,NA,122.5,NA,8.29,NA,80.2,NA,13.9,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,490,NA,4.54,NA,6.3,NA,0.1,"U",6.58,NA,1.11,NA,0.01,"U",0.68,"I",5,"U",0.4,"I",20.7,NA,0.2,"U",0.61,"I",0.02,"U",0.5,"U",35.1,NA,8.6,NA,0.29,"I",314,NA,0.031,"I",13.9,NA,0.099,"I",0.1,NA,25,NA,13,NA,96,NA,0.053,NA,13,NA,15,NA,6,"I",123,NA,1.4,NA,240,NA,4.8,NA,0.096,"I",0.19,NA,8.2,NA,11,NA,17,NA,72.2,"AQ",NA,NA,NA,NA,NA,NA
"10",57106,"Z4-CN-14020",2020-01-21 10:35:00,"PRIMARY","WATER",8.05,NA,226.1,NA,9.3,NA,89,NA,13.3,NA,0.4,NA,0.4,"S",0.2,NA,NA,NA,NA,NA,NA,NA,430,NA,5.12,NA,9,NA,0.1,"U",15.4,NA,1.3,NA,0.01,"U",0.63,"I",5,"U",0.8,NA,26.2,NA,0.37,"I",0.71,"I",0.02,"U",0.55,"I",59.5,NA,18.9,NA,0.35,"I",214,NA,0.025,"I",10.5,NA,0.1,"I",0.21,NA,26,NA,12,NA,163,"A",0.17,NA,51,NA,27,NA,5,"IA",226,NA,1.5,NA,260,NA,5,NA,0.15,NA,0.095,NA,2.2,"I",1.7,"I",3.1,NA,140.1,"Q",NA,NA,NA,NA,NA,NA
"11",57109,"Z4-CN-14026",2020-01-23 09:20:00,"PRIMARY","WATER",7.22,NA,437.3,NA,7.77,NA,73.9,NA,13,NA,0.5,NA,0.5,"S",0.25,NA,NA,NA,NA,NA,NA,NA,2190,NA,11.3,NA,2.2,NA,0.1,"U",48.1,NA,1.59,NA,0.01,"U",1.1,"I",7.1,"I",0.82,NA,19,NA,0.2,"U",0.7,"I",0.025,"I",1.1,"I",167,NA,23.3,NA,0.36,"I",215,NA,0.035,"I",18.1,NA,0.081,"I",0.061,NA,14,NA,50,"A",258,NA,0.049,NA,104,NA,36,"A",2,"I",423,NA,0.79,NA,85,NA,3.2,NA,0.23,NA,0.11,NA,1.1,"U",1.1,"U",1.2,"I",119.8,"Q",NA,NA,NA,NA,NA,NA
"12",57101,"Z4-CN-14007",2020-01-23 10:55:00,"PRIMARY","WATER",7.49,NA,786,NA,8.92,NA,89.6,NA,15.5,NA,0.3,NA,0.3,"S",0.15,NA,NA,NA,NA,NA,NA,NA,1180,NA,24.9,NA,5.6,NA,0.1,"U",92.7,NA,2.2,NA,0.01,"U",0.56,"I",5,"U",3.55,NA,18.1,NA,0.2,"U",0.87,NA,0.02,"U",4,NA,334,NA,39.8,NA,0.2,"U",123,NA,0.013,"I",22.7,NA,0.21,NA,0.46,NA,9.4,NA,85,NA,497,NA,0.17,NA,218,NA,69,NA,8,"I",789,NA,0.87,NA,25,NA,9.7,"A",0.85,NA,0.23,NA,3.3,NA,2,"I",4.1,NA,1732.9,"Q",NA,NA,NA,NA,NA,NA
"13",0,NA,2020-01-23 11:10:00,"FIELD BLANK","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"U",0.04,"U",0.3,"U",0.1,"U",0.075,"U",0.05,"U",0.01,"U",0.4,"U",5,"U",0.15,"U",1,"U",0.2,"U",0.4,"U",0.02,"U",0.5,"U",0.35,"U",0.5,"U",0.2,"U",5,"U",0.01,"U",1,"U",0.05,"U",0.004,"U",0.5,"U",0.2,"U",15,"U",0.002,"U",0.65,"U",0.2,"U",2,"U",2,"U",0.08,"U",2.5,"U",0.1,"U",0.035,"U",0.002,"U",NA,NA,NA,NA,NA,NA,1,"UQ",NA,NA,NA,NA,NA,NA
"14",57112,"Z4-CN-14029",2020-01-27 09:25:00,"PRIMARY","WATER",7.95,NA,420.7,NA,7.06,NA,72.8,NA,16.7,NA,0.55,NA,0.55,"S",0.27,NA,NA,NA,NA,NA,NA,NA,1000,NA,4.63,NA,0.3,"U",0.1,"U",80.7,NA,1.16,NA,0.01,"U",0.42,"I",5,"U",1.69,NA,4.8,NA,0.2,"U",0.4,"U",0.02,"U",0.5,"U",221,NA,6.5,NA,0.2,"U",19,"I",0.012,"I",15.6,NA,0.05,"U",0.027,NA,14,NA,7.8,NA,268,NA,0.046,NA,192,NA,12,NA,3,"I",407,NA,0.85,NA,69,NA,4,NA,0.087,"I",0.032,NA,2.1,"I",9.3,NA,11,NA,3,"Q",NA,NA,NA,NA,NA,NA
"15",57110,"Z4-CN-14027",2020-01-29 08:45:00,"PRIMARY","WATER",7.77,NA,194.2,NA,5.33,NA,54.3,NA,16.3,NA,0.54,NA,0.54,"S",0.27,NA,NA,NA,NA,NA,NA,NA,44,"I",4.42,NA,3.7,NA,0.1,"U",12.7,NA,1.12,NA,0.01,"U",0.4,"U",5,"U",0.25,"I",5.3,NA,0.2,"U",1.09,NA,0.02,"U",0.5,"U",50,NA,15.2,NA,0.2,"U",46,NA,0.01,"U",6,NA,0.13,"I",0.11,NA,12,NA,23,NA,124,"A",0.018,NA,26,NA,23,NA,7,"IA",194,NA,1,NA,50,"A",4.2,NA,0.16,NA,0.061,NA,2.5,"I",27,NA,30,NA,39.1,"AQ",NA,NA,NA,NA,NA,NA
"16",57105,"Z4-CN-14019",2020-01-29 10:50:00,"PRIMARY","WATER",7.4,NA,237.3,NA,3.16,NA,31.7,NA,15.4,NA,0.52,NA,0.52,"S",0.26,NA,NA,NA,NA,NA,NA,NA,50,"I",5.69,NA,3.8,NA,0.1,"U",19.1,NA,4.18,NA,0.01,"U",0.55,"I",5,"U",0.15,"U",13.1,NA,0.2,"U",0.56,"I",0.02,"U",0.5,"U",71.2,NA,15.7,NA,0.2,"U",106,NA,0.017,"I",24.7,NA,0.08,"I",0.012,NA,16,NA,31,NA,169,NA,0.028,NA,29,NA,28,NA,5,"I",229,NA,0.93,NA,88,NA,2,NA,0.11,NA,0.046,NA,4.7,NA,8.1,NA,11,NA,16.1,"Q",NA,NA,NA,NA,NA,NA
"17",57111,"Z4-CN-14028",2020-01-29 13:55:00,"PRIMARY","WATER",7.27,NA,335.8,NA,6.72,NA,68.9,NA,16.4,NA,4.8,NA,1.5,NA,0.3,NA,NA,NA,NA,NA,NA,NA,110,"I",4.52,NA,1.6,NA,0.1,"U",53.4,NA,0.72,NA,0.01,"U",0.4,"U",5.9,"I",3.01,NA,8.9,NA,0.22,"I",0.4,"U",0.02,"U",0.53,"I",152,NA,12.5,NA,0.2,"U",15,"I",0.01,"U",4.2,NA,0.11,"I",0.14,NA,14,NA,11,"A",215,NA,0.008,NA,129,"A",22,"A",2,"I",339,"A",0.67,NA,72,NA,0.75,NA,0.19,NA,0.1,NA,0.9,"U",14,NA,15,NA,125.9,"Q",NA,NA,NA,NA,NA,NA
"18",57111,"Z4-CN-14028",2020-01-29 13:56:00,"BOTTOM","WATER",7.22,NA,325.8,NA,4.88,NA,48.5,NA,15,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",57113,"Z4-CN-14030",2020-01-30 09:08:00,"PRIMARY","WATER",7.51,NA,7758,NA,3.29,NA,36.5,NA,19.2,NA,1,NA,1,"S",0.3,NA,NA,NA,NA,NA,NA,NA,97,"I",141,NA,42,NA,0.1,"U",148,NA,1.52,NA,0.01,"U",0.65,"I",5,"U",5.8,NA,22.4,NA,0.2,"U",0.62,"I",0.02,"U",1.5,"I",949,NA,1070,NA,0.2,"U",31,NA,0.01,"I",5.5,NA,0.18,"I",0.1,NA,15,NA,340,NA,3790,NA,0.099,NA,238,NA,1900,NA,7,"I",6680,NA,1,NA,53,NA,1.8,NA,0.3,NA,0.15,NA,3.3,NA,12,NA,15,NA,762,"AQ",NA,NA,NA,NA,NA,NA
"20",0,NA,2020-01-30 09:20:00,"FIELD BLANK","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"U",0.04,"U",0.3,"U",0.1,"U",0.075,"U",0.05,"U",0.01,"U",0.4,"U",5,"U",0.15,"U",1,"U",0.2,"U",0.4,"U",0.02,"U",0.5,"U",0.35,"U",0.5,"U",0.2,"U",5,"U",0.01,"U",1,"U",0.05,"U",0.004,"U",0.5,"U",0.2,"U",15,"U",0.002,"U",0.65,"U",0.2,"U",2,"U",2,"U",0.08,"U",2.5,"U",0.1,"U",0.035,"U",0.002,"U",NA,NA,NA,NA,NA,NA,1,"UQ",NA,NA,NA,NA,NA,NA
"21",57115,"Z6-CN-14002",2020-01-23 13:09:00,"BOTTOM","WATER",7.81,NA,47045,NA,5,NA,69.1,NA,22.7,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",57115,"Z6-CN-14002",2020-01-23 13:10:00,"PRIMARY","WATER",7.71,NA,22900,NA,5.12,NA,63.9,NA,23,NA,5.6,NA,4.2,NA,0.3,NA,NA,NA,NA,NA,NA,NA,90,"U",496,NA,145,NA,0.4,"U",208,NA,1.14,NA,0.04,"U",4,"U",15,"U",6,NA,20,NA,0.8,"U",4.3,NA,0.08,"U",2,"U",2560,NA,3900,NA,2,"U",50,"U",0.04,"U",5.2,"I",0.31,"I",0.1,NA,6.1,NA,990,NA,10000,NA,0.088,NA,179,"A",7200,NA,3,"U",21600,"A",0.5,NA,11,"A",1.3,NA,0.6,NA,0.013,NA,0.98,"U",4.8,NA,5,NA,763.5,"AQ",NA,NA,NA,NA,NA,NA
"23",57122,"Z6-CN-14009",2020-01-27 11:29:00,"BOTTOM","WATER",7.43,NA,618,NA,5.45,NA,61.3,NA,21,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",57122,"Z6-CN-14009",2020-01-27 11:30:00,"PRIMARY","WATER",7.43,NA,615,NA,5.49,NA,61.9,NA,21.1,NA,2.7,NA,2.2,NA,0.3,NA,NA,NA,NA,NA,NA,NA,220,NA,9.81,NA,3,NA,0.1,"U",74.5,NA,0.88,NA,0.01,"U",0.4,"U",5,"U",0.77,NA,21.5,NA,0.2,"U",1.15,NA,0.02,"U",0.5,"U",226,NA,47,NA,0.2,"U",5,"U",0.01,"U",3.8,"I",0.069,"I",0.28,NA,13,NA,1.9,NA,355,NA,0.16,NA,216,NA,68,NA,2,"U",621,NA,1.1,NA,29,"A",1.3,NA,0.28,NA,0.009,NA,1.3,"U",3.9,NA,4.3,NA,16,"Q",NA,NA,NA,NA,NA,NA
"25",57126,"Z6-CN-14013",2020-01-27 12:44:00,"BOTTOM","WATER",7.29,NA,761,NA,1.72,NA,19.4,NA,21.2,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",57126,"Z6-CN-14013",2020-01-27 12:45:00,"PRIMARY","WATER",7.29,NA,762,NA,1.89,NA,21.3,NA,21.2,NA,2.4,NA,1.6,NA,0.3,NA,NA,NA,NA,NA,NA,NA,460,NA,16.6,NA,4.2,NA,0.1,"U",82.7,NA,0.51,NA,0.01,"U",0.4,"U",5,"U",0.19,"I",38.2,NA,0.2,"U",0.4,"U",0.02,"U",0.5,"U",275,NA,59.4,NA,0.2,"U",5.6,"I",0.017,"I",21.8,NA,0.05,"U",0.007,"I",20,NA,2.5,NA,464,NA,0.44,NA,264,NA,90,NA,2,"I",763,NA,1.4,NA,64,NA,0.8,NA,0.35,NA,0.008,NA,0.9,"U",1.7,"I",1.7,"I",2,"Q",NA,NA,NA,NA,NA,NA
"27",0,NA,2020-01-27 12:55:00,"FIELD BLANK","WATER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,"U",0.04,"U",0.3,"U",0.1,"U",0.075,"U",0.05,"U",0.01,"U",0.4,"U",5,"U",0.15,"U",1,"U",0.2,"U",0.4,"U",0.02,"U",0.5,"U",0.35,"U",0.5,"U",0.2,"U",5,"U",0.01,"U",1,"U",0.05,"U",0.004,"U",0.5,"U",0.2,"U",15,"U",0.002,"U",0.65,"U",0.2,"U",2,"U",2,"U",0.08,"U",2.5,"U",0.1,"U",0.035,"U",0.002,"U",NA,NA,NA,NA,NA,NA,1,"UQ",1,"UQ",NA,NA,NA,NA
"28",57118,"Z6-CN-14005",2020-01-29 11:59:00,"BOTTOM","WATER",7.16,NA,805,NA,4.78,NA,48.9,NA,16.4,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",57118,"Z6-CN-14005",2020-01-29 12:00:00,"PRIMARY","WATER",7.2,NA,808,NA,5.64,NA,59.1,NA,17.6,NA,3.7,NA,3.7,"S",0.3,NA,NA,NA,NA,NA,NA,NA,30,"U",18.2,NA,5.8,NA,0.1,"U",75.3,NA,0.98,NA,0.01,"U",0.4,"U",5,"U",0.39,"I",33.6,NA,0.2,"U",0.49,"I",0.02,"U",0.5,"U",263,NA,67.9,NA,0.2,"U",5,"U",0.01,"U",1,"U",0.05,"U",0.055,NA,24,NA,18,NA,469,NA,0.16,NA,240,NA,110,NA,2,"U",811,NA,1.6,NA,56,"A",0.35,NA,0.41,NA,0.006,NA,0.9,"U",0.87,"I",0.8,"I",10,"UQ",NA,NA,NA,NA,NA,NA
